School,DPts,DPCmp,DPAtt,DPPct,DPYds,DPTD,DRAtt,DRYds,DRAvg,DRTD,DPlays,DYds,DAvg,DFPass,DFRush,DFPen,DFTot,DNo.,DpenYds,DTFum,DTInt,DTO
Alabama,18.1,19.1,31.9,59.9,201.1,1.3,33.0,117.1,3.5,0.8,64.9,318.2,4.9,8.3,6.7,1.5,16.5,5.5,41.5,0.4,0.9,1.3
Arkansas,26.7,15.9,26.1,60.9,205.6,1.9,37.1,151.9,4.1,0.9,63.2,357.5,5.7,8.9,8.7,1.9,19.5,5.3,40.8,0.5,1.0,1.5
Auburn,20.5,16.7,28.1,59.4,196.0,1.2,35.0,150.8,4.3,1.2,63.1,346.8,5.5,8.1,7.6,0.7,16.4,6.3,51.0,0.6,1.1,1.7
Florida,27.4,16.3,26.4,61.7,225.5,1.7,32.3,160.0,5.0,1.6,58.7,385.5,6.6,9.1,7.1,1.3,17.5,6.0,47.0,0.4,0.3,0.7
Georgia,15.6,18.3,32.5,56.3,181.3,1.1,28.6,107.9,3.8,0.9,61.1,289.2,4.7,8.3,6.4,1.1,15.8,5.8,43.0,0.1,1.2,1.3
Kentucky,25.0,21.8,32.9,66.3,241.3,1.6,33.5,115.6,3.5,1.3,66.4,356.9,5.4,11.3,7.1,1.7,20.1,6.7,59.1,0.5,0.9,1.4
LSU,28.9,19.0,31.2,60.9,243.8,1.7,35.6,172.1,4.8,2.0,66.8,415.9,6.2,10.7,9.4,1.2,21.3,7.4,60.4,0.3,0.9,1.2
Mississippi State,28.2,20.6,29.3,70.3,221.9,1.8,35.9,143.5,4.0,1.3,65.2,365.4,5.6,9.4,7.8,1.6,18.8,5.5,45.0,0.4,0.6,1.0
Missouri,22.3,20.8,33.4,62.3,232.9,1.9,30.7,111.2,3.6,0.5,64.1,344.1,5.4,9.9,6.9,1.8,18.6,7.3,62.3,0.3,0.8,1.1
Ole Miss,25.8,19.9,31.3,63.6,236.7,1.4,39.4,153.5,3.9,1.8,70.7,390.2,5.5,10.6,8.6,1.7,20.9,5.6,45.0,0.4,1.1,1.5
South Carolina,28.6,21.3,34.0,62.6,268.4,1.5,38.9,145.2,3.7,1.8,72.9,413.6,5.7,11.3,9.2,1.4,21.9,5.4,43.8,0.5,0.8,1.3
Tennessee,20.2,21.5,32.6,66.0,227.5,0.9,35.7,113.1,3.2,1.1,68.3,340.6,5.0,9.7,6.2,2.5,18.4,5.5,38.4,0.4,1.0,1.4
Texas A&M,20.4,14.7,25.7,57.2,187.6,1.3,33.9,103.3,3.0,0.5,59.6,290.9,4.9,8.1,5.6,1.5,15.2,9.0,76.9,0.4,0.7,1.1
Vanderbilt,35.1,23.5,34.0,69.3,264.2,2.0,34.6,176.0,5.1,1.9,68.6,440.2,6.4,12.0,8.3,1.4,21.6,7.0,57.6,0.3,1.1,1.4
